concept_id,concept_name,concept_code,vocabulary_id
4056472,"Acute nephritic syndrome, diffuse membranous glomerulonephritis",197683002,SNOMED
4058985,"Acute nephritic syndrome, focal and segmental glomerular lesions",197682007,SNOMED
46270347,Chronic nephritic syndrome with membranous glomerulonephritis,2.8191E+13,SNOMED
4056479,"Chronic nephritic syndrome, focal and segmental glomerular lesions",197709005,SNOMED
45769466,Collagenofibrotic glomerulopathy,708127008,SNOMED
36716430,Dyschondrosteosis and nephritis syndrome,722433005,SNOMED
37311772,Fibronectin glomerulopathy,818952002,SNOMED
4222610,Focal AND segmental proliferative glomerulonephritis,83866005,SNOMED
4059452,Glomerular disease,197679002,SNOMED
36717238,Glomerular disorder due to non-neuropathic heredofamilial amyloidosis,722948009,SNOMED
4056017,Glomerular disorders in blood diseases and disorders involving the immune mechanism,197739000,SNOMED
37311327,Glomerular fibrosis,816069008,SNOMED
4128231,Glomerulopathy with fibronectin deposits 1,236535001,SNOMED
36716650,Glomerulopathy with fibronectin deposits 2,722759007,SNOMED
261071,Glomerulosclerosis,197661001,SNOMED
45757751,Hereditary minor glomerular abnormality,3.67581E+14,SNOMED
36715483,Idiopathic glomerular disease,721175003,SNOMED
4055901,"Isolated proteinuria with specified morphological lesion, diffuse mesangial proliferative glomerulonephritis",197721009,SNOMED
40490326,Lipoprotein glomerulopathy,446923008,SNOMED
4056344,"Nephritis, nephrosis and nephrotic syndrome",197577008,SNOMED
40317613,"Nephritis, nephrosis and nephrotic syndrome",155849003,SNOMED
4056019,"Nephritis, nephrosis and nephrotic syndrome NOS",197758009,SNOMED
4176957,Nephrotic syndrome secondary to glomerulonephritis,363233007,SNOMED
4221663,Nephrotic-nephritic syndrome,40233000,SNOMED
37397533,Non-amyloid fibrillary glomerulonephritis,718192000,SNOMED
4056596,"Other specified nephritis, nephrosis or nephrotic syndrome",197756008,SNOMED
37018349,Persistent hematuria co-occurrent and due to diffuse membranous glomerulonephritis,714822004,SNOMED
4058989,"Rapidly progressive nephritic syndrome, diffuse membranous glomerulonephritis",197692004,SNOMED
4058988,"Rapidly progressive nephritic syndrome, focal and segmental glomerular lesions",197691006,SNOMED
37018348,Recurrent hematuria co-occurrent and due to diffuse membranous glomerulonephritis,714821006,SNOMED
4059460,"Recurrent or persistent hematuria, diffuse membranous glomerulonephritis",197701008,SNOMED
40374522,"[EDTA] Crescentric glomerulonephritis (type I,II,III) associated with renal failure",285279007,SNOMED
40374955,[EDTA] Cryoglobulineme glomerulonephritis associated with renal failure,285283007,SNOMED
40353849,"[EDTA] Dense deposit disease, membrano-proliferative glomerulonephritis, type II, (proven by immunofluorescence and/or electronic microscopy) associated with renal failure",274580007,SNOMED
40353902,"[EDTA] Glomerulonephritis, histologically examined (otherwise specified) associated with renal failure",274628006,SNOMED
40353903,"[EDTA] Glomerulonephritis, histologically not examined associated with renal failure",274629003,SNOMED
40353847,"[EDTA] Membrano-proliferative glomerulonephritis,type I (proven immunofluorescence / electron microscopy-excluding lupus erythematosus+other specified multi-system disease) associated renal failure",274579009,SNOMED
40398682,"[X]Rapidly progressive nephritic syndrome, other",198497002,SNOMED
44800659,"[X]Rapidly progressive nephritic syndrome, other",4.78571E+14,SNOMED
40395124,"[X]Unspecified nephritic syndrome, dense deposit disease",197640008,SNOMED
40398688,"[X]Unspecified nephritic syndrome, dense deposit disease",198501007,SNOMED
44801353,"[X]Unspecified nephritic syndrome, dense deposit disease",4.62181E+14,SNOMED
40395123,"[X]Unspecified nephritic syndrome, diffuse concentric glomerulonephritis",197639006,SNOMED
40398689,"[X]Unspecified nephritic syndrome, diffuse concentric glomerulonephritis",198502000,SNOMED
44794720,"[X]Unspecified nephritic syndrome, diffuse concentric glomerulonephritis",3.96541E+14,SNOMED
40395126,"[X]Unspecified nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",197641007,SNOMED
40398685,"[X]Unspecified nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",198500008,SNOMED
44797717,"[X]Unspecified nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",4.38031E+14,SNOMED
40395127,"[X]Unspecified nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",197642000,SNOMED
40398684,"[X]Unspecified nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",198499004,SNOMED
44799971,"[X]Unspecified nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",4.50561E+14,SNOMED
40398683,"[X]Unspecified nephritic syndrome, minor glomerular abnormality",198498007,SNOMED
44793980,"[X]Unspecified nephritic syndrome, minor glomerular abnormality",3.90341E+14,SNOMED
4236844,Acute benign hemorrhagic glomerulonephritic syndrome,57965003,SNOMED
4027117,Acute diffuse nephritis,197585004,SNOMED
4027116,Acute exudative nephritis,197583006,SNOMED
4058837,Acute focal nephritis,197584000,SNOMED
435308,Acute glomerulonephritis,19351000,SNOMED
40346985,Acute glomerulonephritis,266613008,SNOMED
40394703,Acute glomerulonephritis,197578003,SNOMED
435320,Acute glomerulonephritis associated with another disorder,197582001,SNOMED
4056345,Acute glomerulonephritis NOS,197588002,SNOMED
40395168,Acute nephritic syndrome,197680004,SNOMED
40440347,Acute nephritic syndrome,236386005,SNOMED
