concept_id,concept_name,concept_code,vocabulary_id
44035206,bosentan monohydrate 125 MG Oral Tablet [Sandoz Bosentan],OMOP1029837,RxNorm Extension
41272472,Hydroflumethiazide 50 MG / Potassium 625 MG / Rauwolfia preparation 50 MG Oral Tablet Box of 100,OMOP2470434,RxNorm Extension
41289154,Prazosin 4 MG Extended Release Oral Capsule Box of 50 by Ratiopharm,OMOP2487116,RxNorm Extension
41394392,50 ML Adonis vernalis extract 100 MG/ML / Arnica montana Extract 50 MG/ML / Convallaria majalis extract 100 MG/ML / CRATAEGUS LAEVIGATA FRUIT 200 MG/ML / Juniperus communis whole extract 50 MG/ML / ... Oral Solution Box of 1,OMOP2592354,RxNorm Extension
41252873,Dihydralazine 25 MG Oral Tablet [Nepresol] Box of 1200,OMOP2450835,RxNorm Extension
43822765,tadalafil 10 MG Oral Tablet [Tadalafil Pmcs],OMOP704480,RxNorm Extension
44017698,Mint-Tadalafil,OMOP1012329,RxNorm Extension
40044755,guanethidine Injectable Solution,375119,RxNorm
43267287,Methyldopa Oral Tablet [Hydopa],OMOP538503,RxNorm Extension
41071666,moxonidine 0.3 MG Oral Tablet [Moxonidin Isis] Box of 98 by Puren,OMOP2269628,RxNorm Extension
44165814,moxonidine 0.4 MG Delayed Release Oral Tablet [Moxocard] Box of 50,OMOP3042537,RxNorm Extension
44180786,moxonidine 0.4 MG Delayed Release Oral Tablet [Moxobeta] Box of 100,OMOP3057509,RxNorm Extension
43755708,50 ML VERATRUM ALBUM Preparation 15 X Oral Solution,OMOP817166,RxNorm Extension
995162,tadalafil 20 MG Oral Tablet [Tadalafil Heumann] by Heumann,OMOP4821673,RxNorm Extension
40066141,methyldopa Oral Suspension [Aldomet],91729,RxNorm
44164465,Angelica archangelica leaf extract 0.19 MG/ML / CRATAEGUS LAEVIGATA FRUIT 76 MG/ML / Equisetum arvense whole extract 40 MG/ML / Ginseng Preparation 0.19 MG/ML / Oats preparation 153 MG/ML / Rauwolfia preparation 9 MG/ML / ... [Mistelan],OMOP3041188,RxNorm Extension
44037990,Clonidine 0.2 MG Oral Tablet [Catapres] by Boehringer Ingelheim,OMOP1032621,RxNorm Extension
35767874,moxonidine 0.4 MG Delayed Release Oral Tablet [Physiotens] by Sigma-Tau,OMOP2769335,RxNorm Extension
35775360,Prazosin 5 MG Extended Release Oral Tablet [Alphavase],OMOP2776821,RxNorm Extension
36886843,VERATRUM ALBUM Preparation 2 X Oral Suspension,OMOP1003214,RxNorm Extension
43151180,moxonidine 0.2 MG Delayed Release Oral Tablet [MOXONIDINE TEVA] Box of 30,OMOP495260,RxNorm Extension
41165737,moxonidine 0.4 MG Oral Tablet [Moxonidin Heumann] Box of 50 by Heunet,OMOP2363699,RxNorm Extension
40140796,hydralazine / isosorbide dinitrate Oral Tablet [Bidil],721814,RxNorm
2046299,moxonidine 0.2 MG Oral Tablet [MOXODIN] by Ilyang,OMOP4946505,RxNorm Extension
36232865,Baratol Pill,1168607,RxNorm
21125541,Methyldopa 500 MG Oral Tablet by Boots,OMOP279468,RxNorm Extension
41058983,riociguat 2.5 MG Delayed Release Oral Tablet [Adempas] Box of 294,OMOP2256945,RxNorm Extension
21101310,Clonidine 0.00833 MG/HR [Catapres],OMOP358802,RxNorm Extension
41088090,Allium sativum whole extract 0.01 MG/ML / Barium 0.1 MG/ML / CRATAEGUS LAEVIGATA FRUIT 0.01 MG/ML / Equisetum arvense whole extract 60 MG/ML / Rauwolfia preparation 0.1 MG/ML / Viscum album preparation 900 MG/ML Oral Solution Box of 1,OMOP2286052,RxNorm Extension
41076883,Clonidine 0.125 MG/ML,OMOP2274845,RxNorm Extension
40824876,bosentan 62.5 MG Delayed Release Oral Tablet Box of 14,OMOP2022838,RxNorm Extension
41225220,Allium sativum whole extract 1 MG / CRATAEGUS LAEVIGATA FRUIT 6 MG / Rauwolfia preparation 7.5 MG / Rutin 10 MG / Viscum album preparation 30 MG Oral Capsule [Asgoviscum],OMOP2423182,RxNorm Extension
